,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
10,20,11,1154,588,566,0.4904679376083189,0.5095320623916811,0.6468,"[{'tx': 13, 'success': 5, 'collisions': 8}, {'tx': 63, 'success': 30, 'collisions': 33}, {'tx': 75, 'success': 39, 'collisions': 36}, {'tx': 47, 'success': 24, 'collisions': 23}, {'tx': 79, 'success': 39, 'collisions': 40}, {'tx': 66, 'success': 36, 'collisions': 30}, {'tx': 35, 'success': 13, 'collisions': 22}, {'tx': 13, 'success': 3, 'collisions': 10}, {'tx': 68, 'success': 36, 'collisions': 32}, {'tx': 43, 'success': 17, 'collisions': 26}, {'tx': 117, 'success': 71, 'collisions': 46}, {'tx': 68, 'success': 37, 'collisions': 31}, {'tx': 29, 'success': 10, 'collisions': 19}, {'tx': 52, 'success': 27, 'collisions': 25}, {'tx': 91, 'success': 50, 'collisions': 41}, {'tx': 73, 'success': 40, 'collisions': 33}, {'tx': 74, 'success': 38, 'collisions': 36}, {'tx': 12, 'success': 3, 'collisions': 9}, {'tx': 77, 'success': 47, 'collisions': 30}, {'tx': 59, 'success': 23, 'collisions': 36}]"
11,20,12,1066,536,530,0.4971857410881801,0.5028142589118199,0.6432,"[{'tx': 91, 'success': 53, 'collisions': 38}, {'tx': 77, 'success': 41, 'collisions': 36}, {'tx': 98, 'success': 52, 'collisions': 46}, {'tx': 7, 'success': 0, 'collisions': 7}, {'tx': 21, 'success': 7, 'collisions': 14}, {'tx': 90, 'success': 56, 'collisions': 34}, {'tx': 51, 'success': 25, 'collisions': 26}, {'tx': 9, 'success': 1, 'collisions': 8}, {'tx': 89, 'success': 44, 'collisions': 45}, {'tx': 73, 'success': 37, 'collisions': 36}, {'tx': 43, 'success': 22, 'collisions': 21}, {'tx': 6, 'success': 0, 'collisions': 6}, {'tx': 78, 'success': 43, 'collisions': 35}, {'tx': 7, 'success': 0, 'collisions': 7}, {'tx': 52, 'success': 20, 'collisions': 32}, {'tx': 39, 'success': 21, 'collisions': 18}, {'tx': 36, 'success': 16, 'collisions': 20}, {'tx': 71, 'success': 40, 'collisions': 31}, {'tx': 51, 'success': 20, 'collisions': 31}, {'tx': 77, 'success': 38, 'collisions': 39}]"
12,20,13,1026,498,528,0.5146198830409356,0.4853801169590643,0.6474,"[{'tx': 48, 'success': 20, 'collisions': 28}, {'tx': 59, 'success': 29, 'collisions': 30}, {'tx': 61, 'success': 29, 'collisions': 32}, {'tx': 52, 'success': 22, 'collisions': 30}, {'tx': 79, 'success': 44, 'collisions': 35}, {'tx': 69, 'success': 39, 'collisions': 30}, {'tx': 49, 'success': 22, 'collisions': 27}, {'tx': 41, 'success': 18, 'collisions': 23}, {'tx': 67, 'success': 32, 'collisions': 35}, {'tx': 47, 'success': 23, 'collisions': 24}, {'tx': 67, 'success': 30, 'collisions': 37}, {'tx': 80, 'success': 43, 'collisions': 37}, {'tx': 34, 'success': 18, 'collisions': 16}, {'tx': 31, 'success': 13, 'collisions': 18}, {'tx': 34, 'success': 15, 'collisions': 19}, {'tx': 7, 'success': 0, 'collisions': 7}, {'tx': 11, 'success': 3, 'collisions': 8}, {'tx': 71, 'success': 39, 'collisions': 32}, {'tx': 51, 'success': 30, 'collisions': 21}, {'tx': 68, 'success': 29, 'collisions': 39}]"
13,20,14,953,464,489,0.5131164742917104,0.48688352570828963,0.6496,"[{'tx': 50, 'success': 22, 'collisions': 28}, {'tx': 55, 'success': 23, 'collisions': 32}, {'tx': 53, 'success': 27, 'collisions': 26}, {'tx': 6, 'success': 0, 'collisions': 6}, {'tx': 67, 'success': 37, 'collisions': 30}, {'tx': 20, 'success': 10, 'collisions': 10}, {'tx': 28, 'success': 9, 'collisions': 19}, {'tx': 31, 'success': 9, 'collisions': 22}, {'tx': 79, 'success': 40, 'collisions': 39}, {'tx': 25, 'success': 12, 'collisions': 13}, {'tx': 71, 'success': 38, 'collisions': 33}, {'tx': 59, 'success': 27, 'collisions': 32}, {'tx': 27, 'success': 14, 'collisions': 13}, {'tx': 49, 'success': 24, 'collisions': 25}, {'tx': 77, 'success': 44, 'collisions': 33}, {'tx': 83, 'success': 50, 'collisions': 33}, {'tx': 41, 'success': 19, 'collisions': 22}, {'tx': 50, 'success': 22, 'collisions': 28}, {'tx': 56, 'success': 28, 'collisions': 28}, {'tx': 26, 'success': 9, 'collisions': 17}]"
14,20,15,879,433,446,0.5073947667804323,0.4926052332195677,0.6495,"[{'tx': 55, 'success': 30, 'collisions': 25}, {'tx': 72, 'success': 40, 'collisions': 32}, {'tx': 44, 'success': 17, 'collisions': 27}, {'tx': 43, 'success': 24, 'collisions': 19}, {'tx': 58, 'success': 29, 'collisions': 29}, {'tx': 36, 'success': 16, 'collisions': 20}, {'tx': 10, 'success': 1, 'collisions': 9}, {'tx': 70, 'success': 38, 'collisions': 32}, {'tx': 49, 'success': 25, 'collisions': 24}, {'tx': 59, 'success': 34, 'collisions': 25}, {'tx': 61, 'success': 33, 'collisions': 28}, {'tx': 39, 'success': 15, 'collisions': 24}, {'tx': 50, 'success': 27, 'collisions': 23}, {'tx': 6, 'success': 0, 'collisions': 6}, {'tx': 36, 'success': 19, 'collisions': 17}, {'tx': 49, 'success': 20, 'collisions': 29}, {'tx': 48, 'success': 21, 'collisions': 27}, {'tx': 14, 'success': 3, 'collisions': 11}, {'tx': 27, 'success': 12, 'collisions': 15}, {'tx': 53, 'success': 29, 'collisions': 24}]"
15,20,16,830,398,432,0.5204819277108433,0.4795180722891566,0.6368,"[{'tx': 11, 'success': 4, 'collisions': 7}, {'tx': 33, 'success': 13, 'collisions': 20}, {'tx': 77, 'success': 46, 'collisions': 31}, {'tx': 31, 'success': 13, 'collisions': 18}, {'tx': 58, 'success': 31, 'collisions': 27}, {'tx': 41, 'success': 18, 'collisions': 23}, {'tx': 7, 'success': 0, 'collisions': 7}, {'tx': 40, 'success': 17, 'collisions': 23}, {'tx': 48, 'success': 19, 'collisions': 29}, {'tx': 62, 'success': 33, 'collisions': 29}, {'tx': 25, 'success': 9, 'collisions': 16}, {'tx': 62, 'success': 29, 'collisions': 33}, {'tx': 17, 'success': 6, 'collisions': 11}, {'tx': 58, 'success': 32, 'collisions': 26}, {'tx': 60, 'success': 36, 'collisions': 24}, {'tx': 55, 'success': 27, 'collisions': 28}, {'tx': 52, 'success': 24, 'collisions': 28}, {'tx': 14, 'success': 5, 'collisions': 9}, {'tx': 29, 'success': 12, 'collisions': 17}, {'tx': 50, 'success': 24, 'collisions': 26}]"
16,20,17,793,376,417,0.5258511979823455,0.47414880201765447,0.6392,"[{'tx': 21, 'success': 8, 'collisions': 13}, {'tx': 61, 'success': 30, 'collisions': 31}, {'tx': 37, 'success': 19, 'collisions': 18}, {'tx': 52, 'success': 22, 'collisions': 30}, {'tx': 41, 'success': 21, 'collisions': 20}, {'tx': 41, 'success': 19, 'collisions': 22}, {'tx': 27, 'success': 13, 'collisions': 14}, {'tx': 15, 'success': 6, 'collisions': 9}, {'tx': 45, 'success': 19, 'collisions': 26}, {'tx': 12, 'success': 2, 'collisions': 10}, {'tx': 43, 'success': 23, 'collisions': 20}, {'tx': 66, 'success': 35, 'collisions': 31}, {'tx': 60, 'success': 31, 'collisions': 29}, {'tx': 36, 'success': 13, 'collisions': 23}, {'tx': 68, 'success': 37, 'collisions': 31}, {'tx': 44, 'success': 19, 'collisions': 25}, {'tx': 8, 'success': 1, 'collisions': 7}, {'tx': 61, 'success': 31, 'collisions': 30}, {'tx': 7, 'success': 0, 'collisions': 7}, {'tx': 48, 'success': 27, 'collisions': 21}]"
17,20,18,753,356,397,0.5272244355909694,0.47277556440903057,0.6408,"[{'tx': 11, 'success': 3, 'collisions': 8}, {'tx': 46, 'success': 19, 'collisions': 27}, {'tx': 57, 'success': 30, 'collisions': 27}, {'tx': 42, 'success': 23, 'collisions': 19}, {'tx': 35, 'success': 13, 'collisions': 22}, {'tx': 6, 'success': 0, 'collisions': 6}, {'tx': 47, 'success': 25, 'collisions': 22}, {'tx': 64, 'success': 32, 'collisions': 32}, {'tx': 35, 'success': 14, 'collisions': 21}, {'tx': 43, 'success': 24, 'collisions': 19}, {'tx': 36, 'success': 16, 'collisions': 20}, {'tx': 23, 'success': 8, 'collisions': 15}, {'tx': 41, 'success': 19, 'collisions': 22}, {'tx': 18, 'success': 6, 'collisions': 12}, {'tx': 6, 'success': 0, 'collisions': 6}, {'tx': 72, 'success': 43, 'collisions': 29}, {'tx': 48, 'success': 20, 'collisions': 28}, {'tx': 31, 'success': 12, 'collisions': 19}, {'tx': 51, 'success': 27, 'collisions': 24}, {'tx': 41, 'success': 22, 'collisions': 19}]"
18,20,19,716,333,383,0.5349162011173184,0.4650837988826816,0.6327,"[{'tx': 57, 'success': 30, 'collisions': 27}, {'tx': 39, 'success': 16, 'collisions': 23}, {'tx': 44, 'success': 22, 'collisions': 22}, {'tx': 49, 'success': 27, 'collisions': 22}, {'tx': 44, 'success': 23, 'collisions': 21}, {'tx': 30, 'success': 17, 'collisions': 13}, {'tx': 19, 'success': 7, 'collisions': 12}, {'tx': 33, 'success': 10, 'collisions': 23}, {'tx': 50, 'success': 24, 'collisions': 26}, {'tx': 63, 'success': 42, 'collisions': 21}, {'tx': 33, 'success': 15, 'collisions': 18}, {'tx': 6, 'success': 0, 'collisions': 6}, {'tx': 42, 'success': 17, 'collisions': 25}, {'tx': 28, 'success': 12, 'collisions': 16}, {'tx': 50, 'success': 20, 'collisions': 30}, {'tx': 19, 'success': 5, 'collisions': 14}, {'tx': 33, 'success': 14, 'collisions': 19}, {'tx': 40, 'success': 19, 'collisions': 21}, {'tx': 20, 'success': 7, 'collisions': 13}, {'tx': 17, 'success': 6, 'collisions': 11}]"
19,20,20,689,322,367,0.532656023222061,0.46734397677793904,0.644,"[{'tx': 18, 'success': 5, 'collisions': 13}, {'tx': 55, 'success': 31, 'collisions': 24}, {'tx': 41, 'success': 17, 'collisions': 24}, {'tx': 36, 'success': 16, 'collisions': 20}, {'tx': 35, 'success': 18, 'collisions': 17}, {'tx': 37, 'success': 21, 'collisions': 16}, {'tx': 64, 'success': 35, 'collisions': 29}, {'tx': 46, 'success': 25, 'collisions': 21}, {'tx': 51, 'success': 26, 'collisions': 25}, {'tx': 54, 'success': 29, 'collisions': 25}, {'tx': 30, 'success': 12, 'collisions': 18}, {'tx': 22, 'success': 7, 'collisions': 15}, {'tx': 40, 'success': 19, 'collisions': 21}, {'tx': 21, 'success': 7, 'collisions': 14}, {'tx': 28, 'success': 13, 'collisions': 15}, {'tx': 6, 'success': 1, 'collisions': 5}, {'tx': 38, 'success': 17, 'collisions': 21}, {'tx': 39, 'success': 17, 'collisions': 22}, {'tx': 10, 'success': 2, 'collisions': 8}, {'tx': 18, 'success': 4, 'collisions': 14}]"
