,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
191,2,92,112,96,16,0.14285714285714285,0.8571428571428571,0.8832,"[{'tx': 53, 'success': 45, 'collisions': 8}, {'tx': 59, 'success': 51, 'collisions': 8}]"
192,2,93,107,101,6,0.056074766355140186,0.9439252336448598,0.9393,"[{'tx': 53, 'success': 50, 'collisions': 3}, {'tx': 54, 'success': 51, 'collisions': 3}]"
193,2,94,107,97,10,0.09345794392523364,0.9065420560747663,0.9118,"[{'tx': 55, 'success': 50, 'collisions': 5}, {'tx': 52, 'success': 47, 'collisions': 5}]"
194,2,95,106,96,10,0.09433962264150944,0.9056603773584906,0.912,"[{'tx': 54, 'success': 49, 'collisions': 5}, {'tx': 52, 'success': 47, 'collisions': 5}]"
195,2,96,106,96,10,0.09433962264150944,0.9056603773584906,0.9216,"[{'tx': 55, 'success': 50, 'collisions': 5}, {'tx': 51, 'success': 46, 'collisions': 5}]"
196,2,97,105,95,10,0.09523809523809523,0.9047619047619048,0.9215,"[{'tx': 51, 'success': 46, 'collisions': 5}, {'tx': 54, 'success': 49, 'collisions': 5}]"
197,2,98,104,94,10,0.09615384615384616,0.9038461538461539,0.9212,"[{'tx': 49, 'success': 44, 'collisions': 5}, {'tx': 55, 'success': 50, 'collisions': 5}]"
198,2,99,103,93,10,0.0970873786407767,0.9029126213592233,0.9207,"[{'tx': 56, 'success': 51, 'collisions': 5}, {'tx': 47, 'success': 42, 'collisions': 5}]"
199,2,100,101,93,8,0.07920792079207921,0.9207920792079208,0.93,"[{'tx': 49, 'success': 45, 'collisions': 4}, {'tx': 52, 'success': 48, 'collisions': 4}]"
200,3,1,2834,2300,534,0.18842625264643614,0.8115737473535639,0.23,"[{'tx': 948, 'success': 765, 'collisions': 183}, {'tx': 956, 'success': 781, 'collisions': 175}, {'tx': 930, 'success': 754, 'collisions': 176}]"
201,3,2,2309,1900,409,0.17713295799047207,0.822867042009528,0.38,"[{'tx': 788, 'success': 652, 'collisions': 136}, {'tx': 767, 'success': 635, 'collisions': 132}, {'tx': 754, 'success': 613, 'collisions': 141}]"
202,3,3,1888,1572,316,0.1673728813559322,0.8326271186440678,0.4716,"[{'tx': 622, 'success': 512, 'collisions': 110}, {'tx': 673, 'success': 574, 'collisions': 99}, {'tx': 593, 'success': 486, 'collisions': 107}]"
203,3,4,1592,1291,301,0.18907035175879397,0.8109296482412061,0.5164,"[{'tx': 514, 'success': 415, 'collisions': 99}, {'tx': 554, 'success': 459, 'collisions': 95}, {'tx': 524, 'success': 417, 'collisions': 107}]"
204,3,5,1389,1153,236,0.16990640748740102,0.830093592512599,0.5765,"[{'tx': 471, 'success': 392, 'collisions': 79}, {'tx': 437, 'success': 363, 'collisions': 74}, {'tx': 481, 'success': 398, 'collisions': 83}]"
205,3,6,1203,980,223,0.1853699085619285,0.8146300914380715,0.588,"[{'tx': 405, 'success': 326, 'collisions': 79}, {'tx': 390, 'success': 322, 'collisions': 68}, {'tx': 408, 'success': 332, 'collisions': 76}]"
206,3,7,1094,893,201,0.18372943327239488,0.8162705667276051,0.6251,"[{'tx': 340, 'success': 272, 'collisions': 68}, {'tx': 388, 'success': 316, 'collisions': 72}, {'tx': 366, 'success': 305, 'collisions': 61}]"
207,3,8,1000,802,198,0.198,0.802,0.6416,"[{'tx': 328, 'success': 260, 'collisions': 68}, {'tx': 333, 'success': 269, 'collisions': 64}, {'tx': 339, 'success': 273, 'collisions': 66}]"
